x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
16,-17,33,17,0,-38,-28,11,0,0,-10,-51,57,50
17,-13,32,17,0,-49,19,-48,0,0,-7,29,-9,0
16,-21,32,17,0,-35,-28,4,0,0,-13,-48,54,0
16,-21,32,17,0,-40,14,-19,0,0,-8,-26,47,0
14,-19,32,17,0,-42,-4,-21,0,0,-12,16,-1,0
14,-19,32,17,0,-34,8,-6,0,0,-12,-35,53,0
14,-20,33,18,0,-40,15,-19,0,0,-12,27,-7,0
14,-20,33,17,0,-31,-15,14,0,0,-13,-18,32,0
15,-19,31,17,0,-30,50,-16,0,0,-14,4,26,0
15,-19,31,17,0,-32,-2,26,41,0,-13,1,17,0
14,-21,32,17,0,-31,49,2,110,0,-11,-34,58,0
14,-21,32,17,0,-35,13,27,149,0,-18,36,-5,0
12,-22,33,18,0,-28,43,24,223,0,-10,-34,51,0
15,-22,32,17,0,-37,27,33,306,0,-18,36,4,0
13,-22,31,18,0,-27,32,37,354,0,-13,30,-7,0
13,-24,31,18,0,-28,37,35,366,0,-10,-29,64,0
14,-22,29,17,0,-13,25,57,374,0,-14,36,-12,7
12,-24,31,17,0,-17,51,40,364,0,-6,-38,65,77
13,-23,31,18,0,2,17,73,363,0,-13,38,-9,128
13,-21,29,17,0,-3,51,38,327,0,-3,-36,64,187
11,-23,31,17,0,2,15,72,255,0,-11,36,-3,274
12,-20,28,17,0,15,33,54,192,0,3,-39,57,333
9,-22,30,17,0,14,5,73,124,0,-5,33,,
8,-17,28,18,0,34,8,72,63,0,6,363,,
7,-17,27,17,,32,25,48,0,0,-5,12,5,374
5,-18,28,17,,42,-31,105,0,0,8,-25,61,377
4,-15,26,1,,48,16,56,0,0,-4,27,0,373
7,,,,,40,-7,68,0,0,13,-43,64,367
3,-17,27,17,,52,-29,89,0,0,-1,33,-2,318
1,-15,27,17,,45,-7,51,0,0,4,-9,22,245
-1,-14,26,17,,43,-44,86,0,0,12,-16,51,170
-3,-14,26,17,,49,-5,51,0,0,6,5,10,104
-4,-12,23,17,,42,-1,33,0,,18,-35,62,28
-6,-13,26,18,,36,-56,84,0,,7,12,1,0
-6,-10,25,18,,30,7,19,0,,15,-40,44,0
-8,-11,24,17,,17,-37,,,,13,2,31,0
-10,-9,24,18,,,36,0,,,9,17,1,0
-10,-8,25,17,,32,-38,63,0,,15,-30,32,0
-11,-7,27,18,,13,-26,16,0,,17,-13,41,0
-12,-4,24,18,,14,-75,63,0,,11,-21,20,0
-13,-5,25,17,,16,-13,11,0,,19,-55,57,0
-13,-3,24,17,,12,-86,54,8,,10,16,7,0
-13,-3,25,17,,13,-36,14,80,,17,-49,50,0
-13,-2,25,17,,13,-24,-4,133,,22,-34,54,0
-15,-1,24,17,,19,-103,60,204,,4,-2,5,0
-15,-2,25,18,,17,-66,20,290,,10,-45,41,0
-14,0,23,18,,15,-63,31,346,,15,1,20,0
-14,-1,25,18,,13,-43,7,374,,8,-40,37,0
-13,1,24,18,,11,-84,41,382,,19,-46,54,0
-15,0,24,17,,6,-13,-7,378,,4,4,4,0
-13,-2,25,17,,9,-59,22,374,,1,-36,28,39
-11,1,25,18,,4,-29,7,357,,21,-16,27,105
-10,-1,27,17,,6,-36,4,290,,1,-28,25,151
-8,1,25,17,,6,-43,16,219,,18,-20,36,226
-9,1,25,17,,1,3,-23,147,,-1,-19,14,310
